Institut,Auftraggeber,Befragte,Datum,Partei,Pct,Land
Infratestdimap,MDR,1.00011.03.–15.03.,17.03.2010,GRÜNE,5 %,sachsen-anhalt
Infratestdimap,MDR,1.00008.05.–12.05.,14.05.2009,GRÜNE,6 %,sachsen-anhalt
Infratestdimap,MDR,1.00010.04.–12.04.,13.04.2007,GRÜNE,4 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75007.10.–13.10.,11.11.2006,GRÜNE,"4,5 %",sachsen-anhalt
Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,GRÜNE,"3,6 %",sachsen-anhalt
Emnid,N24,50007.03.–18.03.,21.03.2006,GRÜNE,4 %,sachsen-anhalt
Forschungs-gruppe Wahlen,ZDF,~ 1.00013.03.–16.03.,17.03.2006,GRÜNE,4 %,sachsen-anhalt
Infratestdimap,MDR,1.00013.03.–15.03.,16.03.2006,GRÜNE,4 %,sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,1.00310.03.–13.03.,14.03.2006,GRÜNE,3 %,sachsen-anhalt
Infratestdimap,MDR,1.00027.02.–01.03.,02.03.2006,GRÜNE,4 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75025.01.–30.01.,28.02.2006,GRÜNE,"3,4 %",sachsen-anhalt
Infratestdimap,MDR,1.00030.01.–01.02.,02.02.2006,GRÜNE,3 %,sachsen-anhalt
Infratestdimap,MDR,1.00009.12.–13.12.,15.12.2005,GRÜNE,2 %,sachsen-anhalt
dimap,MDR,2.500,25.11.2005,GRÜNE,4 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75009.08.–15.08.,05.09.2005,GRÜNE,"3,3 %",sachsen-anhalt
IWD,Wirtschafts-spiegel,75008.04.–18.04.,02.05.2005,GRÜNE,4 %,sachsen-anhalt
dimap,MDR,1.008,18.04.2005,GRÜNE,3 %,sachsen-anhalt
Infratestdimap,MDR,1.00014.01.–19.01.,24.01.2005,GRÜNE,4 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,"754
 Oktober",02.11.2004,GRÜNE,"7,0 %",sachsen-anhalt
IWD,Wirtschafts-spiegel,750April,04.05.2004,GRÜNE,"6,6 %",sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,1.00901.03.–02.03.,05.03.2004,GRÜNE,6 %,sachsen-anhalt
IWD,MagdeburgerVolksstimme,75013.10.–14.10.,04.11.2003,GRÜNE,"3,8 %",sachsen-anhalt
IWD,MitteldeutscheZeitung,75001.04.–09.04.,07.05.2003,GRÜNE,"4,8 %",sachsen-anhalt
IWD,MagdeburgerVolksstimme,,06.11.2002,GRÜNE,"4,6 %",sachsen-anhalt
Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,GRÜNE,"2,0 %",sachsen-anhalt
Forsa,MagdeburgerVolksstimme,,19.04.2002,GRÜNE,2 %,sachsen-anhalt
Infratestdimap,MDR,1.00005.04.–09.04.,11.04.2002,GRÜNE,2 %,sachsen-anhalt
Emnid,n-tv,,28.03.2002,GRÜNE,2 %,sachsen-anhalt
Forschungs-gruppe Wahlen,MagdeburgerVolksstimme,,15.03.2002,GRÜNE,3 %,sachsen-anhalt
Infratestdimap,MDR,1.00021.02.–26.02.,28.02.2002,GRÜNE,2 %,sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,,25.02.2002,GRÜNE,2 %,sachsen-anhalt
Forsa,Die Woche,,24.01.2002,GRÜNE,2 %,sachsen-anhalt
Uni Halle,SPD,,17.01.2002,GRÜNE,"2,1 %",sachsen-anhalt
Infratestdimap,MDR,1.00011.12.–16.12.,18.12.2001,GRÜNE,2 %,sachsen-anhalt
Uni Halle,SPD,,28.08.2001,GRÜNE,"3,0 %",sachsen-anhalt
Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,GRÜNE,"3,2 %",sachsen-anhalt
Infratestdimap,MDR,,23.04.1998,GRÜNE,3 %,sachsen-anhalt
Forsa,ProSieben,,20.04.1998,GRÜNE,3 %,sachsen-anhalt
Polis,FOCUS,,20.04.1998,GRÜNE,5 %,sachsen-anhalt
Infratestdimap,MDR,,09.04.1998,GRÜNE,4 %,sachsen-anhalt
Forschungs-gruppe Wahlen,ZDF,1.03431.03.–02.04.,03.04.1998,GRÜNE,4 %,sachsen-anhalt
Forsa,Die Woche,,02.04.1998,GRÜNE,4 %,sachsen-anhalt
Forsa,Die Woche,1.00011.03.–16.03.,18.03.1998,GRÜNE,4 %,sachsen-anhalt
Infratestdimap,MDR,1.000,12.03.1998,GRÜNE,5 %,sachsen-anhalt
Infratestdimap,MDR,1.00019.01.–25.01.,29.01.1998,GRÜNE,7 %,sachsen-anhalt
Institut,Auftraggeber,Befragte,Datum,FDP,FDP,sachsen-anhalt
– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,FDP,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,sachsen-anhalt
T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,FDP,T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,sachsen-anhalt
"AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ","AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ","AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ","AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ",FDP,"AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ",sachsen-anhalt
,,,,FDP,,sachsen-anhalt
Landtagswahl am 20.03.2011,Landtagswahl am 20.03.2011,Landtagswahl am 20.03.2011,Landtagswahl am 20.03.2011,FDP,"3,8 %",sachsen-anhalt
Forschungs-gruppe Wahlen,ZDF,1.68008.03.–10.03.,11.03.2011,FDP,5 %,sachsen-anhalt
Infratestdimap,ARD,1.00108.03.–10.03.,10.03.2011,FDP,"4,5 %",sachsen-anhalt
Emnid,Focus,1.00011.02.–17.02.,20.02.2011,FDP,5 %,sachsen-anhalt
Infratestdimap,MDR,1.00011.02.–15.02.,17.02.2011,FDP,5 %,sachsen-anhalt
Infratestdimap,MDR,1.00014.01.–18.01.,20.01.2011,FDP,4 %,sachsen-anhalt
Infratestdimap,MDR,1.00116.09.–20.09.,23.09.2010,FDP,5 %,sachsen-anhalt
Emnid,DIE LINKELV ST,1.00004.08.–14.08.,25.08.2010,FDP,5 %,sachsen-anhalt
Infratestdimap,MDR,1.00011.03.–15.03.,17.03.2010,FDP,8 %,sachsen-anhalt
Infratestdimap,MDR,1.00008.05.–12.05.,14.05.2009,FDP,7 %,sachsen-anhalt
Infratestdimap,MDR,1.00010.04.–12.04.,13.04.2007,FDP,7 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75007.10.–13.10.,11.11.2006,FDP,"5,6 %",sachsen-anhalt
Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,FDP,"6,7 %",sachsen-anhalt
Emnid,N24,50007.03.–18.03.,21.03.2006,FDP,6 %,sachsen-anhalt
Forschungs-gruppe Wahlen,ZDF,~ 1.00013.03.–16.03.,17.03.2006,FDP,6 %,sachsen-anhalt
Infratestdimap,MDR,1.00013.03.–15.03.,16.03.2006,FDP,6 %,sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,1.00310.03.–13.03.,14.03.2006,FDP,6 %,sachsen-anhalt
Infratestdimap,MDR,1.00027.02.–01.03.,02.03.2006,FDP,6 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75025.01.–30.01.,28.02.2006,FDP,"6,4 %",sachsen-anhalt
Infratestdimap,MDR,1.00030.01.–01.02.,02.02.2006,FDP,6 %,sachsen-anhalt
Infratestdimap,MDR,1.00009.12.–13.12.,15.12.2005,FDP,6 %,sachsen-anhalt
dimap,MDR,2.500,25.11.2005,FDP,9 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75009.08.–15.08.,05.09.2005,FDP,6 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75008.04.–18.04.,02.05.2005,FDP,5 %,sachsen-anhalt
dimap,MDR,1.008,18.04.2005,FDP,5 %,sachsen-anhalt
Infratestdimap,MDR,1.00014.01.–19.01.,24.01.2005,FDP,6 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,"754
 Oktober",02.11.2004,FDP,"7,0 %",sachsen-anhalt
IWD,Wirtschafts-spiegel,750April,04.05.2004,FDP,"7,0 %",sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,1.00901.03.–02.03.,05.03.2004,FDP,4 %,sachsen-anhalt
IWD,MagdeburgerVolksstimme,75013.10.–14.10.,04.11.2003,FDP,"6,8 %",sachsen-anhalt
IWD,MitteldeutscheZeitung,75001.04.–09.04.,07.05.2003,FDP,"3,8 %",sachsen-anhalt
IWD,MagdeburgerVolksstimme,,06.11.2002,FDP,"7,8 %",sachsen-anhalt
Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,FDP,"13,3 %",sachsen-anhalt
Forsa,MagdeburgerVolksstimme,,19.04.2002,FDP,10 %,sachsen-anhalt
Infratestdimap,MDR,1.00005.04.–09.04.,11.04.2002,FDP,9 %,sachsen-anhalt
Emnid,n-tv,,28.03.2002,FDP,8 %,sachsen-anhalt
Forschungs-gruppe Wahlen,MagdeburgerVolksstimme,,15.03.2002,FDP,7 %,sachsen-anhalt
Infratestdimap,MDR,1.00021.02.–26.02.,28.02.2002,FDP,7 %,sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,,25.02.2002,FDP,6 %,sachsen-anhalt
Forsa,Die Woche,,24.01.2002,FDP,7 %,sachsen-anhalt
Uni Halle,SPD,,17.01.2002,FDP,"6,7 %",sachsen-anhalt
Infratestdimap,MDR,1.00011.12.–16.12.,18.12.2001,FDP,5 %,sachsen-anhalt
Uni Halle,SPD,,28.08.2001,FDP,"7,5 %",sachsen-anhalt
Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,FDP,"4,2 %",sachsen-anhalt
Infratestdimap,MDR,,23.04.1998,FDP,5 %,sachsen-anhalt
Forsa,ProSieben,,20.04.1998,FDP,4 %,sachsen-anhalt
Polis,FOCUS,,20.04.1998,FDP,4 %,sachsen-anhalt
Infratestdimap,MDR,,09.04.1998,FDP,3 %,sachsen-anhalt
Forschungs-gruppe Wahlen,ZDF,1.03431.03.–02.04.,03.04.1998,FDP,4 %,sachsen-anhalt
Forsa,Die Woche,,02.04.1998,FDP,3 %,sachsen-anhalt
Forsa,Die Woche,1.00011.03.–16.03.,18.03.1998,FDP,3 %,sachsen-anhalt
Infratestdimap,MDR,1.000,12.03.1998,FDP,4 %,sachsen-anhalt
Infratestdimap,MDR,1.00019.01.–25.01.,29.01.1998,FDP,3 %,sachsen-anhalt
Institut,Auftraggeber,Befragte,Datum,LINKE,LINKE,sachsen-anhalt
– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,LINKE,– Als Umfragewert: nicht ausgewiesen; als Wahlergebnis: nicht teilgenommen,sachsen-anhalt
T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,LINKE,T: Telefon – telefonische Befragung von zufällig ausgewählten Personen (CATI – Computer Assisted Telephone Interview)O: Online-Panel – internetbasierte Befragung von gezielt ausgewählten Mitgliedern einer Personengruppe (Befragten-Pool)F: Face to face – persönlich-mündliche Befragung von zufällig ausgewählten Personen,sachsen-anhalt
"AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ","AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ","AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ","AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ",LINKE,"AfD = Alternative für DeutschlandCDU = Christlich Demokratische Union DeutschlandsDVU = DEUTSCHE VOLKSUNIONFDP = Freie Demokratische ParteiFW = FREIE WÄHLERGRÜNE = BÜNDNIS 90/DIE GRÜNENLINKE = DIE LINKE, vor Gründung der Partei am 16. Juni 2007 Zahlen für Die Linke.PDS bzw. – vor Umbenennung des LV Sachsen-Anhalt   im Juli 2005 – für die PDS)NPD = Nationaldemokratische Partei DeutschlandsPIRATEN = Piratenpartei DeutschlandRechte = rechte ParteienREP = DIE REPUBLIKANERSCHILL = Partei Rechtsstaatlicher OffensiveSonst. = sonstige ParteienSPD = Sozialdemokratische Partei DeutschlandsTierschutzp. = Tierschutzpartei = PARTEI MENSCH UMWELT TIERSCHUTZ",sachsen-anhalt
,,,,LINKE,,sachsen-anhalt
Landtagswahl am 20.03.2011,Landtagswahl am 20.03.2011,Landtagswahl am 20.03.2011,Landtagswahl am 20.03.2011,LINKE,"23,7 %",sachsen-anhalt
Forschungs-gruppe Wahlen,ZDF,1.68008.03.–10.03.,11.03.2011,LINKE,24 %,sachsen-anhalt
Infratestdimap,ARD,1.00108.03.–10.03.,10.03.2011,LINKE,"25,0 %",sachsen-anhalt
Emnid,Focus,1.00011.02.–17.02.,20.02.2011,LINKE,27 %,sachsen-anhalt
Infratestdimap,MDR,1.00011.02.–15.02.,17.02.2011,LINKE,26 %,sachsen-anhalt
Infratestdimap,MDR,1.00014.01.–18.01.,20.01.2011,LINKE,28 %,sachsen-anhalt
Infratestdimap,MDR,1.00116.09.–20.09.,23.09.2010,LINKE,30 %,sachsen-anhalt
Emnid,DIE LINKELV ST,1.00004.08.–14.08.,25.08.2010,LINKE,27 %,sachsen-anhalt
Infratestdimap,MDR,1.00011.03.–15.03.,17.03.2010,LINKE,29 %,sachsen-anhalt
Infratestdimap,MDR,1.00008.05.–12.05.,14.05.2009,LINKE,25 %,sachsen-anhalt
Infratestdimap,MDR,1.00010.04.–12.04.,13.04.2007,LINKE,25 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75007.10.–13.10.,11.11.2006,LINKE,"19,8 %",sachsen-anhalt
Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,Landtagswahl am 26.03.2006,LINKE,"24,1 %",sachsen-anhalt
Emnid,N24,50007.03.–18.03.,21.03.2006,LINKE,22 %,sachsen-anhalt
Forschungs-gruppe Wahlen,ZDF,~ 1.00013.03.–16.03.,17.03.2006,LINKE,23 %,sachsen-anhalt
Infratestdimap,MDR,1.00013.03.–15.03.,16.03.2006,LINKE,23 %,sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,1.00310.03.–13.03.,14.03.2006,LINKE,23 %,sachsen-anhalt
Infratestdimap,MDR,1.00027.02.–01.03.,02.03.2006,LINKE,22 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75025.01.–30.01.,28.02.2006,LINKE,"19,2 %",sachsen-anhalt
Infratestdimap,MDR,1.00030.01.–01.02.,02.02.2006,LINKE,23 %,sachsen-anhalt
Infratestdimap,MDR,1.00009.12.–13.12.,15.12.2005,LINKE,27 %,sachsen-anhalt
dimap,MDR,2.500,25.11.2005,LINKE,25 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75009.08.–15.08.,05.09.2005,LINKE,30 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,75008.04.–18.04.,02.05.2005,LINKE,21 %,sachsen-anhalt
dimap,MDR,1.008,18.04.2005,LINKE,18 %,sachsen-anhalt
Infratestdimap,MDR,1.00014.01.–19.01.,24.01.2005,LINKE,20 %,sachsen-anhalt
IWD,Wirtschafts-spiegel,"754
 Oktober",02.11.2004,LINKE,"25,1 %",sachsen-anhalt
IWD,Wirtschafts-spiegel,750April,04.05.2004,LINKE,"23,0 %",sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,1.00901.03.–02.03.,05.03.2004,LINKE,19 %,sachsen-anhalt
IWD,MagdeburgerVolksstimme,75013.10.–14.10.,04.11.2003,LINKE,"13,9 %",sachsen-anhalt
IWD,MitteldeutscheZeitung,75001.04.–09.04.,07.05.2003,LINKE,"9,0 %",sachsen-anhalt
IWD,MagdeburgerVolksstimme,,06.11.2002,LINKE,"14,8 %",sachsen-anhalt
Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,Landtagswahl am 21.04.2002,LINKE,"20,4 %",sachsen-anhalt
Forsa,MagdeburgerVolksstimme,,19.04.2002,LINKE,22 %,sachsen-anhalt
Infratestdimap,MDR,1.00005.04.–09.04.,11.04.2002,LINKE,23 %,sachsen-anhalt
Emnid,n-tv,,28.03.2002,LINKE,26 %,sachsen-anhalt
Forschungs-gruppe Wahlen,MagdeburgerVolksstimme,,15.03.2002,LINKE,19 %,sachsen-anhalt
Infratestdimap,MDR,1.00021.02.–26.02.,28.02.2002,LINKE,20 %,sachsen-anhalt
IfM Leipzig,MitteldeutscheZeitung,,25.02.2002,LINKE,19 %,sachsen-anhalt
Forsa,Die Woche,,24.01.2002,LINKE,25 %,sachsen-anhalt
Uni Halle,SPD,,17.01.2002,LINKE,"19,3 %",sachsen-anhalt
Infratestdimap,MDR,1.00011.12.–16.12.,18.12.2001,LINKE,20 %,sachsen-anhalt
Uni Halle,SPD,,28.08.2001,LINKE,"18,3 %",sachsen-anhalt
Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,Landtagswahl am 26.04.1998,LINKE,"19,6 %",sachsen-anhalt
Infratestdimap,MDR,,23.04.1998,LINKE,17 %,sachsen-anhalt
Forsa,ProSieben,,20.04.1998,LINKE,19 %,sachsen-anhalt
Polis,FOCUS,,20.04.1998,LINKE,19 %,sachsen-anhalt
Infratestdimap,MDR,,09.04.1998,LINKE,16 %,sachsen-anhalt
Forschungs-gruppe Wahlen,ZDF,1.03431.03.–02.04.,03.04.1998,LINKE,17 %,sachsen-anhalt
Forsa,Die Woche,,02.04.1998,LINKE,20 %,sachsen-anhalt
Forsa,Die Woche,1.00011.03.–16.03.,18.03.1998,LINKE,19 %,sachsen-anhalt
Infratestdimap,MDR,1.000,12.03.1998,LINKE,16 %,sachsen-anhalt
Infratestdimap,MDR,1.00019.01.–25.01.,29.01.1998,LINKE,16 %,sachsen-anhalt
Institut,Auftraggeber,Befragte,Datum,Sonstige,Sonstige,sachsen-anhalt
